Postcode,Speed cameras2014Number,Speed cameras2014Value ($),Speed cameras2015Number,Speed cameras2015Value ($),,,,,,,,
2170,11399,3317377,11436,3414302,,,,,,,,
2145,7383,2067981,8544,2496596,,,,,,,,
2560,6542,1799348,5669,1587243,,,,,,,,
2148,6142,1725718,6707,1929015,,,,,,,,
2200,5844,1745769,6477,1927438,,,,,,,,
2153,5329,1410944,5752,1633391,,,,,,,,
2770,4861,1272151,5351,1408724,,,,,,,,
2144,5400,1615555,6002,1833580,,,,,,,,
2026,5772,1366537,6002,1527323,,,,,,,,
2160,5027,1444543,5885,1747739,,,,,,,,
2176,4918,1288135,4822,1304586,,,,,,,,
2155,4517,1171330,5016,1365386,,,,,,,,
2161,4660,1387000,5235,1561443,,,,,,,,
2250,4164,1005091,4299,993430,,,,,,,,
2166,4956,1440273,5212,1495494,,,,,,,,
2171,4411,1252373,4403,1257005,,,,,,,,
2035,5470,1301463,5168,1293588,,,,,,,,
2168,4206,1168778,4562,1291217,,,,,,,,
2196,4496,1271125,4688,1316276,,,,,,,,
2165,4400,1244125,4673,1394026,,,,,,,,
2147,4079,1140874,4368,1226399,,,,,,,,
2031,4869,1228517,4899,1211726,,,,,,,,
2259,3399,772710,3420,801700,,,,,,,,
2154,4128,1043142,4394,1162521,,,,,,,,
2000,4246,1279083,4747,1451865,,,,,,,,
2099,4400,1120193,4411,1148384,,,,,,,,
2190,3932,1140577,4121,1168523,,,,,,,,
2500,3937,986791,3644,935862,,,,,,,,
2216,3861,1004910,3774,1000148,,,,,,,,
2750,3279,859413,3467,926413,,,,,,,,
2036,3840,918096,3890,980970,,,,,,,,
2141,3602,1038425,4006,1188985,,,,,,,,
2747,3235,840595,3356,900192,,,,,,,,
2112,3743,939804,4031,1045216,,,,,,,,
2142,3574,1104005,3757,1144010,,,,,,,,
2150,3515,1086703,4006,1250893,,,,,,,,
2234,3176,800793,3207,838731,,,,,,,,
2122,3633,910233,3795,973689,,,,,,,,
2261,2930,651597,2819,623740,,,,,,,,
2135,3644,987518,3644,992040,,,,,,,,
2567,2655,766554,2545,716225,,,,,,,,
2570,2282,656970,2254,620537,,,,,,,,
2088,3457,812537,3878,982233,,,,,,,,
2195,3432,929416,3488,996400,,,,,,,,
2220,3255,852369,3315,861326,,,,,,,,
2756,2545,679938,2806,848218,,,,,,,,
2010,3502,894650,3616,958690,,,,,,,,
2034,3533,881361,3534,901039,,,,,,,,
2760,2852,779036,2979,791408,,,,,,,,
2066,3219,769143,3593,987351,,,,,,,,
2210,2880,738709,3057,798848,,,,,,,,
2230,2825,679197,2896,727173,,,,,,,,
2207,3128,821323,3046,825989,,,,,,,,
2046,3246,852980,3461,953161,,,,,,,,
2137,3316,855650,3428,949573,,,,,,,,
2217,2995,787506,3104,798973,,,,,,,,
2229,2841,738511,2765,738512,,,,,,,,
2077,2814,695750,3381,879673,,,,,,,,
2065,3118,784327,3280,861059,,,,,,,,
2650,1264,254003,1114,237221,,,,,,,,
2795,1090,242668,1898,396629,,,,,,,,
2800,1197,262671,1827,418170,,,,,,,,
2763,2534,638822,2742,720165,,,,,,,,
2566,2584,1343386,2359,1007563,,,,,,,,
2759,2474,624525,2478,642499,,,,,,,,
2194,3035,830214,2949,825529,,,,,,,,
2232,2554,644341,2502,643236,,,,,,,,
2761,2339,609394,2550,682467,,,,,,,,
2017,2730,694462,3106,819756,,,,,,,,
2121,2725,671933,2885,719800,,,,,,,,
2204,2890,808219,2662,768826,,,,,,,,
2768,2441,654041,2635,708913,,,,,,,,
2540,1756,377124,1558,361474,,,,,,,,
2745,2205,554334,2220,581916,,,,,,,,
2138,2519,669179,2889,773482,,,,,,,,
2164,2500,802101,2592,846936,,,,,,,,
2117,2418,621844,2780,740278,,,,,,,,
2118,2507,622722,2639,694778,,,,,,,,
2011,2631,671337,2702,705542,,,,,,,,
2320,1457,326847,1344,314159,,,,,,,,
2040,2662,689064,2590,693279,,,,,,,,
2450,1407,289703,1306,280700,,,,,,,,
2076,2368,584971,2493,646852,,,,,,,,
2067,2430,635459,2649,726896,,,,,,,,
2162,2261,652139,2351,679407,,,,,,,,
2287,1687,389413,1663,411503,,,,,,,,
2199,2202,654573,2484,742480,,,,,,,,
2340,1016,229035,973,212899,,,,,,,,
2830,725,163803,931,209298,,,,,,,,
2101,2433,565399,2499,621188,,,,,,,,
2114,2345,608829,2563,697623,,,,,,,,
2213,2093,533717,2241,595674,,,,,,,,
2113,2344,652013,2582,765252,,,,,,,,
2151,2269,633327,2427,659118,,,,,,,,
2206,2310,618338,2319,642777,,,,,,,,
2251,1902,413076,1884,436658,,,,,,,,
2290,1664,382348,1596,384136,,,,,,,,
2767,1969,527446,2078,572427,,,,,,,,
2444,1366,275747,1419,288730,,,,,,,,
2093,2180,492940,2504,591468,,,,,,,,
2205,1999,551494,2393,669950,,,,,,,,
2074,2178,545008,2098,532788,,,,,,,,
2528,1975,447747,1765,436119,,,,,,,,
2131,2358,672358,2237,638098,,,,,,,,
2233,1842,457299,1792,432094,,,,,,,,
2530,1704,416293,1715,429056,,,,,,,,
2529,1876,421605,1648,376871,,,,,,,,
2100,2182,574553,2215,586098,,,,,,,,
2030,2151,506183,2348,565246,,,,,,,,
2021,2080,516260,2345,575691,,,,,,,,
2018,2079,508790,2082,554461,,,,,,,,
2120,2038,528249,2115,559097,,,,,,,,
2221,1971,497802,1897,486001,,,,,,,,
2075,1893,465009,1927,476814,,,,,,,,
2020,2022,550539,2126,620592,,,,,,,,
2095,2050,451767,2183,548084,,,,,,,,
2041,2151,532233,2102,546248,,,,,,,,
2260,1819,390427,1573,351127,,,,,,,,
